"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000165164.14",0.248647880221125,0.108061496761242,0.507259195304139,0.0486551829190276,0.825420099130089,NA,"CFAP47","286464"
"ENSG00000145861.9",0.461648074968723,-0.0314781340713027,0.307031691868583,0.0486362529843376,0.825453516601979,NA,"C1QTNF2","114898"
"ENSG00000103723.15",17.7339080966479,0.0119880487027377,0.0542234766233223,0.0486011498845755,0.825515503006634,0.916145805210367,"AP3B2","8120"
"ENSG00000197859.10",1.21977947052966,-0.0507786710659859,0.225792624565374,0.0484576801272993,0.825769091763822,0.916356287167502,"ADAMTSL2","9719"
"ENSG00000102128.8",0.134302034654226,-0.106427682134281,0.887717618789205,0.0484341407330291,0.82581073619127,NA,"RAB40AL","282808"
"ENSG00000074603.19",281.885177455604,-0.00669917458503538,0.0312839798381304,0.0483846259995175,0.825898369213,0.916428798908433,"DPP8","54878"
"ENSG00000178096.9",149.788723599971,0.00660466858688174,0.0298070319079049,0.048239641819066,0.826155238306626,0.916642866002568,"BOLA1","51027"
"ENSG00000034510.6",2775.12630568339,-0.00445637004667376,0.0198659568754218,0.0481931688096893,0.826237660354548,0.916663360953722,"TMSB10","9168"
"ENSG00000125352.6",78.7255222522322,0.00610817596074387,0.0277826203830042,0.0480728484723159,0.826451247809055,0.91682936197624,"RNF113A","7737"
"ENSG00000183921.7",0.227443507395448,-0.114084736720343,0.684381060676487,0.0480532834870573,0.82648600519412,NA,"SDR42E2","100288072"
"ENSG00000211450.10",131.967676171911,0.00660624382127253,0.0299684924011555,0.0479896804806117,0.826599047816437,0.916851961745416,"SELENOH","280636"
"ENSG00000172183.15",20.965098197657,-0.0118166766259492,0.0550261365814256,0.0479893999133765,0.826599546646854,0.916851961745416,"ISG20","3669"
"ENSG00000166801.15",167.20061943145,0.0108556198206523,0.0511365632076203,0.0478834569300375,0.826788015779976,0.916990050927745,"FAM111A","63901"
"ENSG00000284395.1",0.13341772595912,-0.135653909568021,1.02929361834424,0.0477746146959319,0.826981870254505,NA,"PERCC1","105371045"
"ENSG00000121769.8",0.168609522668933,-0.0548604040626012,0.545080037824943,0.0477424752607902,0.827039156733772,NA,"FABP3","2170"
"ENSG00000205457.11",0.0422525252241338,0.169762751109522,1.02924712342823,0.0476710442901904,0.827166550241849,NA,"TP53TG3C","653550"
"ENSG00000168765.17",50.6764579603922,0.00850705587375543,0.0396186464855473,0.0476231820308044,0.827251966106292,0.917364956446912,"GSTM4","2948"
"ENSG00000168214.20",361.119319301449,0.0127144721080039,0.0584484291920203,0.0476220195595829,0.827254041232927,0.917364956446912,"RBPJ","3516"
"ENSG00000162873.14",0.237592360947086,-0.0791053805044035,0.947247093078291,0.047596884128204,0.827298916966513,NA,"KLHDC8A","55220"
